REGION_ID,COUNTRY_ID,COUNTRY_NAME_EN
"AIMS: Asia and the Pacific",AFG,"Afghanistan"
"AIMS: Asia and the Pacific",AUS,"Australia"
"AIMS: Asia and the Pacific",BGD,"Bangladesh"
"AIMS: Asia and the Pacific",BTN,"Bhutan"
"AIMS: Asia and the Pacific",SLB,"Solomon Islands"
"AIMS: Asia and the Pacific",PLW,"Palau"
"AIMS: Asia and the Pacific",BRN,"Brunei Darussalam"
"AIMS: Asia and the Pacific",MMR,"Myanmar"
"AIMS: Asia and the Pacific",CHN,"China"
"AIMS: Asia and the Pacific",COK,"Cook Islands"
"AIMS: Asia and the Pacific",FJI,"Fiji"
"AIMS: Asia and the Pacific",KIR,"Kiribati"
"AIMS: Asia and the Pacific",HKG,"China, Hong Kong Special Administrative Region"
"AIMS: Asia and the Pacific",IND,"India"
"AIMS: Asia and the Pacific",IDN,"Indonesia"
"AIMS: Asia and the Pacific",IRN,"Iran (Islamic Republic of)"
"AIMS: Asia and the Pacific",JPN,"Japan"
"AIMS: Asia and the Pacific",KAZ,"Kazakhstan"
"AIMS: Asia and the Pacific",KHM,"Cambodia"
"AIMS: Asia and the Pacific",KOR,"Republic of Korea"
"AIMS: Asia and the Pacific",PRK,"Democratic People's Republic of Korea"
"AIMS: Asia and the Pacific",KGZ,"Kyrgyzstan"
"AIMS: Asia and the Pacific",LAO,"Lao People's Democratic Republic"
"AIMS: Asia and the Pacific",MAC,"China, Macao Special Administrative Region"
"AIMS: Asia and the Pacific",MYS,"Malaysia"
"AIMS: Asia and the Pacific",MDV,"Maldives"
"AIMS: Asia and the Pacific",FSM,"Micronesia (Federated States of)"
"AIMS: Asia and the Pacific",MNG,"Mongolia"
"AIMS: Asia and the Pacific",NRU,"Nauru"
"AIMS: Asia and the Pacific",NPL,"Nepal"
"AIMS: Asia and the Pacific",VUT,"Vanuatu"
"AIMS: Asia and the Pacific",NZL,"New Zealand"
"AIMS: Asia and the Pacific",NIU,"Niue"
"AIMS: Asia and the Pacific",MHL,"Marshall Islands"
"AIMS: Asia and the Pacific",PAK,"Pakistan"
"AIMS: Asia and the Pacific",PNG,"Papua New Guinea"
"AIMS: Asia and the Pacific",PHL,"Philippines"
"AIMS: Asia and the Pacific",TLS,"Timor-Leste"
"AIMS: Asia and the Pacific",SGP,"Singapore"
"AIMS: Asia and the Pacific",LKA,"Sri Lanka"
"AIMS: Asia and the Pacific",TJK,"Tajikistan"
"AIMS: Asia and the Pacific",THA,"Thailand"
"AIMS: Asia and the Pacific",TKL,"Tokelau"
"AIMS: Asia and the Pacific",TON,"Tonga"
"AIMS: Asia and the Pacific",TUV,"Tuvalu"
"AIMS: Asia and the Pacific",TKM,"Turkmenistan"
"AIMS: Asia and the Pacific",UZB,"Uzbekistan"
"AIMS: Asia and the Pacific",VNM,"Viet Nam"
"AIMS: Asia and the Pacific",WSM,"Samoa"
"AIMS: Central Asia",KAZ,"Kazakhstan"
"AIMS: Central Asia",KGZ,"Kyrgyzstan"
"AIMS: Central Asia",TJK,"Tajikistan"
