"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2012",16475.7,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2013",16853,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2014",16867.62,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2015",17560.62,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2016",18625,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2017",18974.75,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2018",20416.62,
"AUT","EDUEXP","TRY","USD_STUDENT","A","2019",21329.11,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2012",9772.282,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2013",10025.88,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2014",10090.85,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2015",10182.6,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2016",10764.22,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2017",10993.64,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2018",11460.99,
"BEL","EDUEXP","PRY","USD_STUDENT","A","2019",11719.9,
"CZE","EDUEXP","TRY","USD_STUDENT","A","1995",7841.6,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2000",5319.909,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2005",6572.162,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2008",8179.323,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2009",8403.375,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2010",7954.317,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2011",9478.244,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2012",10421.61,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2013",10307.66,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2014",10490.26,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2015",10960.24,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2016",10193.64,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2017",11440.47,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2018",16148.12,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2019",17411.19,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2005",11188.65,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2008",14324.25,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2009",14930.97,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2010",15144.96,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2011",15585.49,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2012",15392.09,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2013",16233.88,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2014",16353.8,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2015",16257.15,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2016",16477.16,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2017",16870.73,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2018",17403.74,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2019",18135.93,
"HUN","EDUEXP","TRY","USD_STUDENT","A","1995",6366.273,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2000",6196.238,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2012",9039.39,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2013",10373.97,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2014",8647.33,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2015",8815.057,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2016",11508.38,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2017",12719.93,
