"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","MEN","MLN_PER","A","1950",4.1229,
"AUS","POP","MEN","MLN_PER","A","1951",4.2537,
"AUS","POP","MEN","MLN_PER","A","1952",4.3726,
"AUS","POP","MEN","MLN_PER","A","1953",4.4626,
"AUS","POP","MEN","MLN_PER","A","1954",4.5461,
"AUS","POP","MEN","MLN_PER","A","1955",4.6563,
"AUS","POP","MEN","MLN_PER","A","1956",4.776,
"AUS","POP","MEN","MLN_PER","A","1957",4.8823,
"AUS","POP","MEN","MLN_PER","A","1958",4.9766,
"AUS","POP","MEN","MLN_PER","A","1959",5.0802,
"AUS","POP","MEN","MLN_PER","A","1960",5.1923,
"AUS","POP","MEN","MLN_PER","A","1961",5.3123,
"AUS","POP","MEN","MLN_PER","A","1962",5.3992,
"AUS","POP","MEN","MLN_PER","A","1963",5.4999,
"AUS","POP","MEN","MLN_PER","A","1964",5.6052,
"AUS","POP","MEN","MLN_PER","A","1965",5.7145,
"AUS","POP","MEN","MLN_PER","A","1966",5.841588,
"AUS","POP","MEN","MLN_PER","A","1967",5.939321,
"AUS","POP","MEN","MLN_PER","A","1968",6.043235,
"AUS","POP","MEN","MLN_PER","A","1969",6.170191,
"AUS","POP","MEN","MLN_PER","A","1970",6.291977,
"AUS","POP","MEN","MLN_PER","A","1971",6.567936,
"AUS","POP","MEN","MLN_PER","A","1972",6.685153,
"AUS","POP","MEN","MLN_PER","A","1973",6.782848,
"AUS","POP","MEN","MLN_PER","A","1974",6.889668,
"AUS","POP","MEN","MLN_PER","A","1975",6.969181,
"AUS","POP","MEN","MLN_PER","A","1976",7.032034,
"AUS","POP","MEN","MLN_PER","A","1977",7.104702,
"AUS","POP","MEN","MLN_PER","A","1978",7.181293,
"AUS","POP","MEN","MLN_PER","A","1979",7.253762,
"AUS","POP","MEN","MLN_PER","A","1980",7.33806,
"AUS","POP","MEN","MLN_PER","A","1981",7.448267,
"AUS","POP","MEN","MLN_PER","A","1982",7.580914,
"AUS","POP","MEN","MLN_PER","A","1983",7.686346,
"AUS","POP","MEN","MLN_PER","A","1984",7.778212,
"AUS","POP","MEN","MLN_PER","A","1985",7.882728,
"AUS","POP","MEN","MLN_PER","A","1986",8.000187,
"AUS","POP","MEN","MLN_PER","A","1987",8.118255,
"AUS","POP","MEN","MLN_PER","A","1988",8.248945,
"AUS","POP","MEN","MLN_PER","A","1989",8.387589,
"AUS","POP","MEN","MLN_PER","A","1990",8.511269,
"AUS","POP","MEN","MLN_PER","A","1991",8.615409,
"AUS","POP","MEN","MLN_PER","A","1992",8.708256,
"AUS","POP","MEN","MLN_PER","A","1993",8.78198,
"AUS","POP","MEN","MLN_PER","A","1994",8.863677,
"AUS","POP","MEN","MLN_PER","A","1995",8.96043,
"AUS","POP","MEN","MLN_PER","A","1996",9.065324,
"AUS","POP","MEN","MLN_PER","A","1997",9.156177,
"AUS","POP","MEN","MLN_PER","A","1998",9.243143,
"AUS","POP","MEN","MLN_PER","A","1999",9.340109,
"AUS","POP","MEN","MLN_PER","A","2000",9.443465,
"AUS","POP","MEN","MLN_PER","A","2001",9.561826,
"AUS","POP","MEN","MLN_PER","A","2002",9.675483,
"AUS","POP","MEN","MLN_PER","A","2003",9.787597,
"AUS","POP","MEN","MLN_PER","A","2004",9.895951,
"AUS","POP","MEN","MLN_PER","A","2005",10.019633,
"AUS","POP","MEN","MLN_PER","A","2006",10.159424,
"AUS","POP","MEN","MLN_PER","A","2007",10.353636,
"AUS","POP","MEN","MLN_PER","A","2008",10.572045,
"AUS","POP","MEN","MLN_PER","A","2009",10.800797,
"AUS","POP","MEN","MLN_PER","A","2010",10.967831,
"AUS","POP","MEN","MLN_PER","A","2011",11.118234,
"AUS","POP","MEN","MLN_PER","A","2012",11.312979,
"AUS","POP","MEN","MLN_PER","A","2013",11.506165,
"AUS","POP","MEN","MLN_PER","A","2014",11.667886,
"AUS","POP","MEN","MLN_PER","A","2015",11.827652,
"AUS","POP","MEN","MLN_PER","A","2016",12.003039,
"AUS","POP","MEN","MLN_PER","A","2017",12.20377,
"AUS","POP","MEN","MLN_PER","A","2018",12.391042,
"AUS","POP","MEN","MLN_PER","A","2019",12.579318,
"AUS","POP","MEN","MLN_PER","A","2020",12.732938,
"AUS","POP","MEN","MLN_PER","A","2021",12.753847,
"AUS","POP","TOT","MLN_PER","A","1950",8.1787,
"AUS","POP","TOT","MLN_PER","A","1951",8.4217,
"AUS","POP","TOT","MLN_PER","A","1952",8.6365,
"AUS","POP","TOT","MLN_PER","A","1953",8.8153,
"AUS","POP","TOT","MLN_PER","A","1954",8.9865,
"AUS","POP","TOT","MLN_PER","A","1955",9.1997,
"AUS","POP","TOT","MLN_PER","A","1956",9.4255,
"AUS","POP","TOT","MLN_PER","A","1957",9.6402,
"AUS","POP","TOT","MLN_PER","A","1958",9.8424,
"AUS","POP","TOT","MLN_PER","A","1959",10.0564,
"AUS","POP","TOT","MLN_PER","A","1960",10.275,
"AUS","POP","TOT","MLN_PER","A","1961",10.5082,
"AUS","POP","TOT","MLN_PER","A","1962",10.7005,
"AUS","POP","TOT","MLN_PER","A","1963",10.9069,
"AUS","POP","TOT","MLN_PER","A","1964",11.1216,
"AUS","POP","TOT","MLN_PER","A","1965",11.3409,
"AUS","POP","TOT","MLN_PER","A","1966",11.599498,
"AUS","POP","TOT","MLN_PER","A","1967",11.799078,
"AUS","POP","TOT","MLN_PER","A","1968",12.008635,
"AUS","POP","TOT","MLN_PER","A","1969",12.263014,
"AUS","POP","TOT","MLN_PER","A","1970",12.507349,
"AUS","POP","TOT","MLN_PER","A","1971",13.067265,
"AUS","POP","TOT","MLN_PER","A","1972",13.303664,
"AUS","POP","TOT","MLN_PER","A","1973",13.504538,
"AUS","POP","TOT","MLN_PER","A","1974",13.722571,
"AUS","POP","TOT","MLN_PER","A","1975",13.892995,
"AUS","POP","TOT","MLN_PER","A","1976",14.033083,
"AUS","POP","TOT","MLN_PER","A","1977",14.192234,
"AUS","POP","TOT","MLN_PER","A","1978",14.359255,
"AUS","POP","TOT","MLN_PER","A","1979",14.515729,
"AUS","POP","TOT","MLN_PER","A","1980",14.695356,
"AUS","POP","TOT","MLN_PER","A","1981",14.92326,
"AUS","POP","TOT","MLN_PER","A","1982",15.184247,
"AUS","POP","TOT","MLN_PER","A","1983",15.393472,
"AUS","POP","TOT","MLN_PER","A","1984",15.579391,
"AUS","POP","TOT","MLN_PER","A","1985",15.788312,
"AUS","POP","TOT","MLN_PER","A","1986",16.01835,
"AUS","POP","TOT","MLN_PER","A","1987",16.263874,
"AUS","POP","TOT","MLN_PER","A","1988",16.532164,
"AUS","POP","TOT","MLN_PER","A","1989",16.814416,
"AUS","POP","TOT","MLN_PER","A","1990",17.065128,
"AUS","POP","TOT","MLN_PER","A","1991",17.284036,
"AUS","POP","TOT","MLN_PER","A","1992",17.478635,
"AUS","POP","TOT","MLN_PER","A","1993",17.634808,
"AUS","POP","TOT","MLN_PER","A","1994",17.805468,
"AUS","POP","TOT","MLN_PER","A","1995",18.004882,
"AUS","POP","TOT","MLN_PER","A","1996",18.224767,
"AUS","POP","TOT","MLN_PER","A","1997",18.423037,
"AUS","POP","TOT","MLN_PER","A","1998",18.607584,
"AUS","POP","TOT","MLN_PER","A","1999",18.812264,
"AUS","POP","TOT","MLN_PER","A","2000",19.028802,
"AUS","POP","TOT","MLN_PER","A","2001",19.274701,
