INDICATOR_ID,INDICATOR_LABEL_EN
AIDEDUC.LOWINCOMECOUNT,"Percentage of total aid to education allocated to least developed countries (%)"
AIR.1.GLAST,"Gross intake ratio to the last grade of primary education, both sexes (%)"
AIR.1.GLAST.F,"Gross intake ratio to the last grade of primary education, female (%)"
AIR.1.GLAST.GPIA,"Gross intake ratio to the last grade of primary education, adjusted gender parity index (GPIA)"
AIR.1.GLAST.M,"Gross intake ratio to the last grade of primary education, male (%)"
AIR.2.GPV.GLAST,"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)"
AIR.2.GPV.GLAST.F,"Gross intake ratio to the last grade of lower secondary general education, female (%)"
AIR.2.GPV.GLAST.GPIA,"Gross intake ratio to the last grade of lower secondary general education, adjusted gender parity index (GPIA)"
AIR.2.GPV.GLAST.M,"Gross intake ratio to the last grade of lower secondary general education, male (%)"
CR.1,"Completion rate, primary education, both sexes (%)"
CR.1.ABL,"Completion rate, primary education, not disabled, both sexes (%)"
CR.1.ABL.F,"Completion rate, primary education, not disabled, female (%)"
CR.1.ABL.GPIA,"Completion rate, primary education, not disabled, adjusted gender parity index (GPIA)"
CR.1.ABL.M,"Completion rate, primary education, not disabled, male (%)"
CR.1.DIS,"Completion rate, primary education, disabled, both sexes (%)"
CR.1.DIS.F,"Completion rate, primary education, disabled, female (%)"
CR.1.DIS.GPIA,"Completion rate, primary education, disabled, adjusted gender parity index (GPIA)"
CR.1.DIS.M,"Completion rate, primary education, disabled, male (%)"
CR.1.DPIA,"Completion rate, primary education, adjusted disability parity index (DPIA)"
CR.1.F,"Completion rate, primary education, female (%)"
CR.1.F.DPIA,"Completion rate, primary education, female, adjusted disability parity index (DPIA)"
CR.1.F.LPIA,"Completion rate, primary education, female, adjusted location parity index (LPIA)"
CR.1.F.WPIA,"Completion rate, primary education, female, adjusted wealth parity index (WPIA)"
CR.1.GPIA,"Completion rate, primary education, adjusted gender parity index (GPIA)"
CR.1.LPIA,"Completion rate, primary education, adjusted location parity index (LPIA)"
CR.1.M,"Completion rate, primary education, male (%)"
CR.1.M.DPIA,"Completion rate, primary education, male, adjusted disability parity index (DPIA)"
CR.1.M.LPIA,"Completion rate, primary education, male, adjusted location parity index (LPIA)"
CR.1.M.WPIA,"Completion rate, primary education, male, adjusted wealth parity index (WPIA)"
CR.1.Q1,"Completion rate, primary education, poorest quintile, both sexes (%)"
CR.1.Q1.F,"Completion rate, primary education, poorest quintile, female (%)"
CR.1.Q1.F.LPIA,"Completion rate, primary education, poorest quintile, female, adjusted location parity index (LPIA)"
CR.1.Q1.GPIA,"Completion rate, primary education, poorest quintile, adjusted gender parity index (GPIA)"
CR.1.Q1.LPIA,"Completion rate, primary education, poorest quintile, adjusted location parity index (LPIA)"
CR.1.Q1.M,"Completion rate, primary education, poorest quintile, male (%)"
CR.1.Q1.M.LPIA,"Completion rate, primary education, poorest quintile, male, adjusted location parity index (LPIA)"
CR.1.Q2,"Completion rate, primary education, second quintile, both sexes (%)"
CR.1.Q2.F,"Completion rate, primary education, second quintile, female (%)"
CR.1.Q2.F.LPIA,"Completion rate, primary education, second quintile, female, adjusted location parity index (LPIA)"
CR.1.Q2.GPIA,"Completion rate, primary education, second quintile, adjusted gender parity index (GPIA)"
CR.1.Q2.LPIA,"Completion rate, primary education, second quintile, adjusted location parity index (LPIA)"
CR.1.Q2.M,"Completion rate, primary education, second quintile, male (%)"
CR.1.Q2.M.LPIA,"Completion rate, primary education, second quintile, male, adjusted location parity index (LPIA)"
CR.1.Q3,"Completion rate, primary education, middle quintile, both sexes (%)"
CR.1.Q3.F,"Completion rate, primary education, middle quintile, female (%)"
CR.1.Q3.F.LPIA,"Completion rate, primary education, middle quintile, female, adjusted location parity index (LPIA)"
CR.1.Q3.GPIA,"Completion rate, primary education, middle quintile, adjusted gender parity index (GPIA)"
CR.1.Q3.LPIA,"Completion rate, primary education, middle quintile, adjusted location parity index (LPIA)"
CR.1.Q3.M,"Completion rate, primary education, middle quintile, male (%)"
CR.1.Q3.M.LPIA,"Completion rate, primary education, middle quintile, male, adjusted location parity index (LPIA)"
CR.1.Q4,"Completion rate, primary education, fourth quintile, both sexes (%)"
CR.1.Q4.F,"Completion rate, primary education, fourth quintile, female (%)"
CR.1.Q4.F.LPIA,"Completion rate, primary education, fourth quintile, female, adjusted location parity index (LPIA)"
CR.1.Q4.GPIA,"Completion rate, primary education, fourth quintile, adjusted gender parity index (GPIA)"
CR.1.Q4.LPIA,"Completion rate, primary education, fourth quintile, adjusted location parity index (LPIA)"
CR.1.Q4.M,"Completion rate, primary education, fourth quintile, male (%)"
CR.1.Q4.M.LPIA,"Completion rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)"
CR.1.Q5,"Completion rate, primary education, richest quintile, both sexes (%)"
CR.1.Q5.F,"Completion rate, primary education, richest quintile, female (%)"
CR.1.Q5.F.LPIA,"Completion rate, primary education, richest quintile, female, adjusted location parity index (LPIA)"
CR.1.Q5.GPIA,"Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)"
CR.1.Q5.LPIA,"Completion rate, primary education, richest quintile, adjusted location parity index (LPIA)"
CR.1.Q5.M,"Completion rate, primary education, richest quintile, male (%)"
CR.1.Q5.M.LPIA,"Completion rate, primary education, richest quintile, male, adjusted location parity index (LPIA)"
CR.1.RUR,"Completion rate, primary education, rural, both sexes (%)"
CR.1.RUR.F,"Completion rate, primary education, rural, female (%)"
CR.1.RUR.F.WPIA,"Completion rate, primary education, rural, female, adjusted wealth parity index (WPIA)"
CR.1.RUR.GPIA,"Completion rate, primary education, rural, adjusted gender parity index (GPIA)"
CR.1.RUR.M,"Completion rate, primary education, rural, male (%)"
CR.1.RUR.M.WPIA,"Completion rate, primary education, rural, male, adjusted wealth parity index (WPIA)"
CR.1.RUR.Q1,"Completion rate, primary education, rural, poorest quintile, both sexes (%)"
CR.1.RUR.Q1.F,"Completion rate, primary education, rural, poorest quintile, female (%)"
CR.1.RUR.Q1.GPIA,"Completion rate, primary education, rural, poorest quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q1.M,"Completion rate, primary education, rural, poorest quintile, male (%)"
CR.1.RUR.Q2,"Completion rate, primary education, rural, second quintile, both sexes (%)"
CR.1.RUR.Q2.F,"Completion rate, primary education, rural, second quintile, female (%)"
CR.1.RUR.Q2.GPIA,"Completion rate, primary education, rural, second quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q2.M,"Completion rate, primary education, rural, second quintile, male (%)"
CR.1.RUR.Q3,"Completion rate, primary education, rural, middle quintile, both sexes (%)"
CR.1.RUR.Q3.F,"Completion rate, primary education, rural, middle quintile, female (%)"
CR.1.RUR.Q3.GPIA,"Completion rate, primary education, rural, middle quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q3.M,"Completion rate, primary education, rural, middle quintile, male (%)"
CR.1.RUR.Q4,"Completion rate, primary education, rural, fourth quintile, both sexes (%)"
CR.1.RUR.Q4.F,"Completion rate, primary education, rural, fourth quintile, female (%)"
CR.1.RUR.Q4.GPIA,"Completion rate, primary education, rural, fourth quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q4.M,"Completion rate, primary education, rural, fourth quintile, male (%)"
CR.1.RUR.Q5,"Completion rate, primary education, rural, richest quintile, both sexes (%)"
CR.1.RUR.Q5.F,"Completion rate, primary education, rural, richest quintile, female (%)"
CR.1.RUR.Q5.GPIA,"Completion rate, primary education, rural, richest quintile, adjusted gender parity index (GPIA)"
CR.1.RUR.Q5.M,"Completion rate, primary education, rural, richest quintile, male (%)"
CR.1.RUR.WPIA,"Completion rate, primary education, rural, adjusted wealth parity index (WPIA)"
CR.1.URB,"Completion rate, primary education, urban, both sexes (%)"
CR.1.URB.F,"Completion rate, primary education, urban, female (%)"
CR.1.URB.F.WPIA,"Completion rate, primary education, urban, female, adjusted wealth parity index (WPIA)"
CR.1.URB.GPIA,"Completion rate, primary education, urban, adjusted gender parity index (GPIA)"
CR.1.URB.M,"Completion rate, primary education, urban, male (%)"
CR.1.URB.M.WPIA,"Completion rate, primary education, urban, male, adjusted wealth parity index (WPIA)"
CR.1.URB.Q1,"Completion rate, primary education, urban, poorest quintile, both sexes (%)"
CR.1.URB.Q1.F,"Completion rate, primary education, urban, poorest quintile, female (%)"
CR.1.URB.Q1.GPIA,"Completion rate, primary education, urban, poorest quintile, adjusted gender parity index (GPIA)"
